checking_acc,duration,credit_hist,purpose,credit_amount,savings_acc,employment_since,installment_rate,status_sex,guarantor,residence_since,property,age,other_installments,housing,existing_credits,job,no_people_liable,Telephone,foreign_worker,cost_matrix
low,6,existing_paid,education,448,low,one,4,female_divorced_married,none,4,agreement,23,none,own,1,skilled,1,no,yes,2
low,9,existing_paid,new_car,654,low,four,4,male_single,none,3,other,28,none,own,1,unskilled,1,no,yes,2
no_acc,6,existing_paid,retraining,1238,no_acc,unemployed,4,male_single,none,4,agreement,36,none,own,1,management,2,yes,yes,1
medium,18,critical,television,1245,low,four,4,male_married,none,2,other,33,none,own,1,skilled,1,no,yes,2
low,18,no_credit,furniture,3114,low,one,1,female_divorced_married,none,4,agreement,26,none,rent,1,skilled,1,no,yes,2
no_acc,39,existing_paid,old_car,2569,silver,four,4,male_single,none,4,other,24,none,own,1,skilled,1,no,yes,1
high,24,existing_paid,television,5152,low,seven,4,male_single,none,2,other,25,bank,own,1,skilled,1,no,yes,1
medium,12,existing_paid,business,1037,medium,seven,3,male_single,none,4,real_estate,39,none,own,1,unskilled,1,no,yes,1
low,15,critical,furniture,1478,low,seven+,4,male_single,none,4,other,44,none,own,2,skilled,2,yes,yes,1
medium,12,critical,television,3573,low,four,1,female_divorced_married,none,1,real_estate,23,none,own,1,unskilled,1,no,yes,1
medium,24,existing_paid,new_car,1201,low,one,4,male_single,none,1,agreement,26,none,own,1,skilled,1,no,yes,1
low,30,existing_paid,furniture,3622,gold,seven+,4,female_divorced_married,none,4,agreement,57,none,rent,2,skilled,1,yes,yes,1
no_acc,15,delay,furniture,960,gold,seven,3,female_divorced_married,none,2,agreement,30,none,own,2,skilled,1,no,yes,1
no_acc,12,critical,new_car,1163,silver,four,4,male_single,none,4,real_estate,44,none,own,1,skilled,1,yes,yes,1
medium,6,delay,new_car,1209,low,unemployed,4,male_single,none,4,agreement,47,none,own,1,management,1,yes,yes,2
no_acc,12,existing_paid,television,3077,low,four,2,male_single,none,4,other,52,none,own,1,skilled,1,yes,yes,1
no_acc,24,existing_paid,new_car,3757,low,seven+,4,female_divorced_married,co-applicant,4,no_property,62,none,for free,1,skilled,1,yes,yes,1
no_acc,10,existing_paid,new_car,1418,medium,four,3,male_single,none,2,real_estate,35,none,rent,1,unskilled,1,no,no,1
no_acc,6,existing_paid,new_car,3518,low,four,2,male_single,guarantor,3,agreement,26,none,rent,1,skilled,1,no,yes,1
no_acc,12,critical,television,1934,low,seven+,2,male_single,none,2,no_property,26,none,own,2,skilled,1,no,yes,1
medium,27,no_credit,business,8318,low,seven+,2,female_divorced_married,none,4,no_property,42,none,for free,2,management,1,yes,yes,2
no_acc,6,critical,television,1237,medium,four,1,female_divorced_married,none,1,agreement,27,none,own,2,skilled,1,no,yes,1
medium,6,existing_paid,television,368,no_acc,seven+,4,male_single,none,4,agreement,38,none,own,1,skilled,1,no,yes,1
low,12,critical,new_car,2122,low,four,3,male_single,none,2,real_estate,39,none,rent,2,unskilled,2,no,no,1
low,24,existing_paid,furniture,2996,no_acc,four,2,male_married,none,4,other,20,none,own,1,skilled,1,no,yes,2
medium,36,existing_paid,furniture,9034,medium,one,4,male_single,co-applicant,1,no_property,29,none,rent,1,management,1,yes,yes,2
no_acc,24,critical,furniture,1585,low,seven,4,male_single,none,3,agreement,40,none,own,2,skilled,1,no,yes,1
medium,18,existing_paid,television,1301,low,seven+,4,male_married,guarantor,2,real_estate,32,none,own,1,unskilled,1,no,yes,1
high,6,critical,new_car,1323,medium,seven+,2,male_divorced,none,4,other,28,none,own,2,skilled,2,yes,yes,1
low,24,existing_paid,new_car,3123,low,one,4,female_divorced_married,none,1,agreement,27,none,own,1,skilled,1,no,yes,2
low,36,existing_paid,old_car,5493,low,seven+,2,male_single,none,4,no_property,42,none,for free,1,skilled,2,no,yes,1
high,9,existing_paid,television,1126,medium,seven+,2,male_divorced,none,4,real_estate,49,none,own,1,skilled,1,no,yes,1
medium,24,critical,television,1216,medium,one,4,male_single,none,4,no_property,38,bank,own,2,skilled,2,no,yes,2
low,24,existing_paid,new_car,1207,low,one,4,female_divorced_married,none,4,agreement,24,none,rent,1,skilled,1,no,yes,2
no_acc,10,existing_paid,new_car,1309,no_acc,four,4,male_single,guarantor,4,agreement,27,none,own,1,unskilled,1,no,yes,2
high,15,critical,old_car,2360,silver,four,2,male_single,none,2,other,36,none,own,1,skilled,1,yes,yes,1
medium,15,paid,new_car,6850,medium,unemployed,1,male_single,none,2,agreement,34,none,own,1,management,2,yes,yes,2
no_acc,24,existing_paid,television,1413,low,four,4,male_married,none,2,agreement,28,none,own,1,skilled,1,no,yes,1
no_acc,39,existing_paid,old_car,8588,medium,seven+,4,male_single,none,2,other,45,none,own,1,management,1,yes,yes,1
low,12,existing_paid,new_car,759,low,seven,4,male_single,none,2,real_estate,26,none,own,1,skilled,1,no,yes,2
no_acc,36,existing_paid,old_car,4686,low,four,2,male_single,none,2,no_property,32,none,for free,1,management,1,yes,yes,1
high,15,existing_paid,business,2687,low,seven,2,male_single,none,4,agreement,26,none,rent,1,skilled,1,yes,yes,1
medium,12,delay,television,585,low,four,4,male_married,co-applicant,4,real_estate,20,none,rent,2,skilled,1,no,yes,1
no_acc,24,existing_paid,new_car,2255,no_acc,one,4,male_single,none,1,agreement,54,none,own,1,skilled,1,no,yes,1
low,6,critical,new_car,609,low,seven,4,female_divorced_married,none,3,agreement,37,none,own,2,skilled,1,no,no,1
low,6,critical,new_car,1361,low,one,2,male_single,none,4,real_estate,40,none,own,1,unskilled,2,no,no,1
no_acc,36,critical,furniture,7127,low,one,2,female_divorced_married,none,4,agreement,23,none,rent,2,skilled,1,yes,yes,2
low,6,existing_paid,new_car,1203,medium,seven+,3,male_single,none,2,agreement,43,none,own,1,skilled,1,yes,yes,1
no_acc,6,critical,television,700,no_acc,seven+,4,male_single,none,4,no_property,36,none,for free,2,skilled,1,no,yes,1
no_acc,24,critical,repairs,5507,low,seven+,3,male_single,none,4,no_property,44,none,for free,2,skilled,1,no,yes,1
low,18,existing_paid,television,3190,low,four,2,female_divorced_married,none,2,real_estate,24,none,own,1,skilled,1,no,yes,2
low,48,no_credit,furniture,7119,low,four,3,male_single,none,4,no_property,53,none,for free,2,skilled,2,no,yes,2
no_acc,24,existing_paid,old_car,3488,medium,seven,3,female_divorced_married,none,4,other,23,none,own,1,skilled,1,no,yes,1
medium,18,existing_paid,television,1113,low,four,4,female_divorced_married,guarantor,4,real_estate,26,none,own,1,unskilled,2,no,yes,1
medium,26,existing_paid,old_car,7966,low,one,2,male_single,none,3,other,30,none,own,2,skilled,1,no,yes,1
no_acc,15,critical,education,1532,medium,four,4,female_divorced_married,none,3,other,31,none,own,1,skilled,1,no,yes,1
no_acc,4,critical,television,1503,low,seven,2,male_single,none,1,real_estate,42,none,own,2,unskilled,2,no,yes,1
low,36,existing_paid,television,2302,low,four,4,male_divorced,none,4,other,31,none,rent,1,skilled,1,no,yes,2
low,6,existing_paid,new_car,662,low,one,3,male_single,none,4,real_estate,41,none,own,1,unskilled,2,yes,yes,1
medium,36,existing_paid,education,2273,low,seven,3,male_single,none,1,other,32,none,own,2,skilled,2,no,yes,1
medium,15,existing_paid,new_car,2631,medium,four,2,female_divorced_married,none,4,other,28,none,rent,2,skilled,1,yes,yes,2
no_acc,12,delay,old_car,1503,low,four,4,male_married,none,4,real_estate,41,none,rent,1,skilled,1,no,yes,1
no_acc,24,existing_paid,television,1311,medium,seven,4,male_married,none,3,agreement,26,none,own,1,skilled,1,yes,yes,1
no_acc,24,existing_paid,television,3105,no_acc,one,4,male_single,none,2,other,25,none,own,2,skilled,1,no,yes,1
high,21,critical,education,2319,low,one,2,male_divorced,none,1,other,33,none,rent,1,skilled,1,no,yes,2
low,6,existing_paid,new_car,1374,no_acc,unemployed,4,female_divorced_married,none,3,agreement,75,none,own,1,management,1,yes,yes,1
medium,18,critical,furniture,3612,low,seven+,3,female_divorced_married,none,4,agreement,37,none,own,1,skilled,1,yes,yes,1
low,48,existing_paid,new_car,7763,low,seven+,4,male_single,none,4,no_property,42,bank,for free,1,management,1,no,yes,2
high,18,existing_paid,furniture,3049,low,one,1,female_divorced_married,none,1,agreement,45,stores,own,1,unskilled,1,no,yes,1
medium,12,existing_paid,television,1534,low,one,1,male_married,none,1,real_estate,23,none,rent,1,skilled,1,no,yes,2
no_acc,24,delay,new_car,2032,low,seven+,4,male_single,none,4,no_property,60,none,for free,2,skilled,1,yes,yes,1
low,30,existing_paid,furniture,6350,no_acc,seven+,4,male_single,none,4,agreement,31,none,own,1,skilled,1,no,yes,2
high,18,existing_paid,furniture,2864,low,four,2,male_single,none,1,real_estate,34,none,own,1,unskilled,2,no,yes,2
no_acc,12,critical,new_car,1255,low,seven+,4,male_single,none,4,real_estate,61,none,own,2,unskilled,1,no,yes,1
low,24,delay,new_car,1333,low,unemployed,4,male_single,none,2,real_estate,43,none,for free,2,skilled,2,no,yes,2
no_acc,24,critical,new_car,2022,low,four,4,female_divorced_married,none,4,other,37,none,own,1,skilled,1,yes,yes,1
no_acc,24,existing_paid,television,1552,low,seven,3,male_single,none,1,other,32,bank,own,1,skilled,2,no,yes,1
low,12,paid,television,626,low,four,4,female_divorced_married,none,4,real_estate,24,bank,own,1,unskilled,1,no,yes,2
no_acc,48,critical,old_car,8858,no_acc,seven,2,male_single,none,1,no_property,35,none,for free,2,skilled,1,yes,yes,1
no_acc,12,critical,repairs,996,no_acc,seven,4,female_divorced_married,none,4,real_estate,23,none,own,2,skilled,1,no,yes,1
no_acc,6,paid,television,1750,silver,seven+,2,male_single,none,4,agreement,45,bank,own,1,unskilled,2,no,yes,1
low,48,existing_paid,television,6999,low,seven,1,male_married,guarantor,1,real_estate,34,none,own,2,skilled,1,yes,yes,2
medium,12,critical,new_car,1995,medium,one,4,male_single,none,1,other,27,none,own,1,skilled,1,no,yes,1
medium,9,existing_paid,education,1199,low,seven,4,female_divorced_married,none,4,agreement,67,none,own,2,management,1,yes,yes,1
medium,12,existing_paid,television,1331,low,one,2,male_single,none,1,other,22,stores,own,1,skilled,1,no,yes,2
medium,18,no_credit,new_car,2278,medium,one,3,female_divorced_married,none,3,other,28,none,own,2,skilled,1,no,yes,2
no_acc,21,no_credit,new_car,5003,no_acc,four,1,female_divorced_married,none,4,agreement,29,bank,own,2,skilled,1,yes,yes,2
low,24,paid,furniture,3552,low,seven,3,male_single,none,4,other,27,bank,own,1,skilled,1,no,yes,2
medium,18,critical,furniture,1928,low,one,2,male_single,none,2,real_estate,31,none,own,2,unskilled,1,no,yes,2
low,24,existing_paid,old_car,2964,no_acc,seven+,4,male_single,none,4,no_property,49,bank,for free,1,skilled,2,yes,yes,1
low,24,paid,television,1546,low,seven,4,male_single,guarantor,4,other,24,bank,rent,1,unskilled,1,no,yes,2
high,6,delay,television,683,low,one,2,female_divorced_married,none,1,agreement,29,bank,own,1,skilled,1,no,yes,1
medium,36,existing_paid,new_car,12389,no_acc,four,1,male_single,none,4,no_property,37,none,for free,1,skilled,1,yes,yes,2
medium,24,delay,business,4712,no_acc,four,4,male_single,none,2,agreement,37,bank,own,2,management,1,yes,yes,1
medium,24,delay,television,1553,medium,seven,3,female_divorced_married,none,2,agreement,23,none,rent,2,skilled,1,yes,yes,1
low,12,existing_paid,new_car,1372,low,seven,2,male_divorced,none,3,other,36,none,own,1,skilled,1,no,yes,2
no_acc,24,critical,television,2578,gold,seven+,2,male_single,none,2,other,34,none,own,1,skilled,1,no,yes,1
medium,48,existing_paid,television,3979,no_acc,seven,4,male_single,none,1,other,41,none,own,2,skilled,2,yes,yes,1
low,48,existing_paid,television,6758,low,four,3,female_divorced_married,none,2,other,31,none,own,1,skilled,1,yes,yes,2
low,24,existing_paid,furniture,3234,low,one,4,female_divorced_married,none,4,real_estate,23,none,rent,1,unskilled,1,yes,yes,2
no_acc,30,critical,television,5954,low,seven,3,male_single,co-applicant,2,other,38,none,own,1,skilled,1,no,yes,1
no_acc,24,existing_paid,old_car,5433,no_acc,unemployed,2,female_divorced_married,none,4,agreement,26,none,rent,1,management,1,yes,yes,1
low,15,existing_paid,business,806,low,four,4,female_divorced_married,none,4,agreement,22,none,own,1,unskilled,1,no,yes,1
medium,9,existing_paid,television,1082,low,seven+,4,male_single,none,4,other,27,none,own,2,unskilled,1,no,yes,1
no_acc,15,critical,furniture,2788,low,seven,2,female_divorced_married,co-applicant,3,other,24,bank,own,2,skilled,1,no,yes,1
medium,12,existing_paid,television,2930,low,seven,2,female_divorced_married,none,1,real_estate,27,none,own,1,skilled,1,no,yes,1
no_acc,24,critical,education,1927,no_acc,four,3,female_divorced_married,none,2,other,33,none,own,2,skilled,1,yes,yes,1
medium,36,critical,new_car,2820,low,one,4,male_divorced,none,4,other,27,none,own,2,skilled,1,no,yes,2
no_acc,24,existing_paid,retraining,937,low,one,4,male_married,none,3,other,27,none,own,2,unskilled,1,no,yes,1
medium,18,critical,new_car,1056,low,seven+,3,male_single,guarantor,3,real_estate,30,bank,own,2,skilled,1,no,yes,2
medium,12,critical,new_car,3124,low,one,1,male_single,none,3,real_estate,49,bank,own,2,unskilled,2,no,yes,1
no_acc,9,existing_paid,furniture,1388,low,four,4,female_divorced_married,none,2,real_estate,26,none,rent,1,skilled,1,no,yes,1
medium,36,existing_paid,repairs,2384,low,one,4,male_single,none,1,no_property,33,none,rent,1,unskilled,1,no,yes,2
no_acc,12,existing_paid,new_car,2133,no_acc,seven+,4,female_divorced_married,none,4,no_property,52,none,for free,1,management,1,yes,yes,1
low,18,existing_paid,furniture,2039,low,four,1,female_divorced_married,none,4,real_estate,20,bank,rent,1,skilled,1,no,yes,2
low,9,critical,new_car,2799,low,four,2,male_single,none,2,real_estate,36,none,rent,2,skilled,2,no,yes,1
low,12,existing_paid,furniture,1289,low,four,4,male_single,guarantor,1,agreement,21,none,own,1,unskilled,1,no,yes,1
low,18,existing_paid,domestic,1217,low,four,4,male_married,none,3,real_estate,47,none,own,1,unskilled,1,yes,yes,2
low,12,critical,furniture,2246,low,seven+,3,male_single,none,3,agreement,60,none,own,2,skilled,1,no,yes,2
low,12,critical,television,385,low,seven,4,female_divorced_married,none,3,real_estate,58,none,own,4,unskilled,1,yes,yes,1
medium,24,delay,new_car,1965,no_acc,four,4,female_divorced_married,none,4,other,42,none,rent,2,skilled,1,yes,yes,1
no_acc,21,existing_paid,business,1572,gold,seven+,4,female_divorced_married,none,4,real_estate,36,bank,own,1,unskilled,1,no,yes,1
medium,24,existing_paid,new_car,2718,low,four,3,female_divorced_married,none,4,agreement,20,none,rent,1,unskilled,1,yes,yes,2
low,24,paid,others,1358,no_acc,seven+,4,male_single,none,3,other,40,stores,own,1,management,1,yes,yes,2
medium,6,paid,new_car,931,medium,one,1,female_divorced_married,none,1,agreement,32,stores,own,1,unskilled,1,no,yes,2
low,24,existing_paid,new_car,1442,low,seven,4,female_divorced_married,none,4,other,23,none,rent,2,skilled,1,no,yes,2
medium,24,no_credit,business,4241,low,four,1,male_single,none,4,real_estate,36,none,own,3,unskilled,1,yes,yes,2
no_acc,18,critical,new_car,2775,low,seven,2,male_single,none,2,agreement,31,bank,own,2,skilled,1,no,yes,2
no_acc,24,delay,business,3863,low,four,1,male_single,none,2,no_property,32,none,for free,1,skilled,1,no,yes,1
medium,7,existing_paid,television,2329,low,one,1,female_divorced_married,guarantor,1,real_estate,45,none,own,1,skilled,1,no,yes,1
medium,9,existing_paid,furniture,918,low,four,4,female_divorced_married,none,1,agreement,30,none,own,1,skilled,1,no,yes,2
medium,24,paid,education,1837,low,seven,4,female_divorced_married,none,4,no_property,34,bank,for free,1,unskilled,1,no,yes,2
no_acc,36,existing_paid,furniture,3349,low,four,4,female_divorced_married,none,2,other,28,none,own,1,management,1,yes,yes,2
high,10,existing_paid,furniture,1275,low,one,4,female_divorced_married,none,2,agreement,23,none,own,1,skilled,1,no,yes,1
low,24,paid,furniture,2828,silver,four,4,male_single,none,4,real_estate,22,stores,own,1,skilled,1,yes,yes,1
no_acc,24,critical,business,4526,low,four,3,male_single,none,2,real_estate,74,none,own,1,management,1,yes,yes,1
medium,36,existing_paid,television,2671,medium,four,4,female_divorced_married,co-applicant,4,no_property,50,none,for free,1,skilled,1,no,yes,2
no_acc,18,existing_paid,television,2051,low,one,4,male_single,none,1,real_estate,33,none,own,1,skilled,1,no,yes,1
no_acc,15,existing_paid,old_car,1300,no_acc,seven+,4,male_single,none,4,no_property,45,bank,for free,1,skilled,2,no,yes,1
low,12,existing_paid,domestic,741,medium,unemployed,4,female_divorced_married,none,3,agreement,22,none,own,1,skilled,1,no,yes,2
high,10,existing_paid,new_car,1240,medium,seven+,1,female_divorced_married,none,4,no_property,48,none,for free,1,unskilled,2,no,yes,2
low,21,existing_paid,television,3357,gold,one,4,female_divorced_married,none,2,other,29,bank,own,1,skilled,1,no,yes,1
low,24,paid,old_car,3632,low,four,1,female_divorced_married,guarantor,4,other,22,bank,rent,1,skilled,1,no,no,1
no_acc,18,delay,furniture,1808,low,seven,4,female_divorced_married,none,1,real_estate,22,none,own,1,skilled,1,no,yes,2
medium,48,no_credit,business,12204,no_acc,four,2,male_single,none,2,other,48,bank,own,1,management,1,yes,yes,1
medium,60,delay,television,9157,no_acc,four,2,male_single,none,2,no_property,27,none,for free,1,management,1,no,yes,1
low,6,critical,new_car,3676,low,four,1,male_single,none,3,real_estate,37,none,rent,3,skilled,2,no,yes,1
medium,30,existing_paid,furniture,3441,medium,four,2,female_divorced_married,co-applicant,4,other,21,none,rent,1,skilled,1,no,yes,2
no_acc,12,existing_paid,new_car,640,low,four,4,male_divorced,none,2,real_estate,49,none,own,1,unskilled,1,no,yes,1
medium,21,critical,business,3652,low,seven,2,male_single,none,3,agreement,27,none,own,2,skilled,1,no,yes,1
no_acc,18,critical,new_car,1530,low,four,3,male_single,none,2,agreement,32,bank,own,2,skilled,1,no,yes,2
no_acc,48,existing_paid,business,3914,no_acc,four,4,male_divorced,none,2,real_estate,38,bank,own,1,skilled,1,no,yes,2
low,12,existing_paid,furniture,1858,low,one,4,female_divorced_married,none,1,other,22,none,rent,1,skilled,1,no,yes,1
low,18,existing_paid,television,2600,low,four,4,male_single,none,4,no_property,65,none,for free,2,skilled,1,no,yes,2
no_acc,15,existing_paid,television,1979,no_acc,seven+,4,male_single,none,2,other,35,none,own,1,skilled,1,no,yes,1
high,6,existing_paid,furniture,2116,low,four,2,male_single,none,2,real_estate,41,none,own,1,skilled,1,yes,yes,1
medium,9,paid,new_car,1437,medium,seven,2,male_single,none,3,no_property,29,none,own,1,skilled,1,no,yes,2
no_acc,42,critical,furniture,4042,silver,four,4,male_single,none,4,real_estate,36,none,own,2,skilled,1,yes,yes,1
no_acc,9,existing_paid,education,3832,no_acc,seven+,1,male_single,none,4,real_estate,64,none,own,1,unskilled,1,no,yes,1
low,24,existing_paid,television,3660,low,four,2,female_divorced_married,none,4,other,28,none,own,1,skilled,1,no,yes,1
low,18,paid,furniture,1553,low,four,4,male_single,none,3,other,44,bank,own,1,skilled,1,no,yes,2
medium,15,existing_paid,television,1444,no_acc,one,4,male_single,none,1,agreement,23,none,own,1,skilled,1,no,yes,1
no_acc,9,existing_paid,furniture,1980,low,one,2,female_divorced_married,co-applicant,2,other,19,none,rent,2,skilled,1,no,yes,2
medium,24,existing_paid,new_car,1355,low,one,3,female_divorced_married,none,4,other,25,none,own,1,unskilled,1,yes,yes,2
no_acc,12,existing_paid,education,1393,low,seven+,4,male_single,none,4,agreement,47,bank,own,3,skilled,2,yes,yes,1
no_acc,24,existing_paid,television,1376,silver,seven,4,female_divorced_married,none,1,other,28,none,own,1,skilled,1,no,yes,1
no_acc,60,delay,television,15653,low,seven,2,male_single,none,4,other,21,none,own,2,skilled,1,yes,yes,1
no_acc,12,existing_paid,television,1493,low,one,4,female_divorced_married,none,3,other,34,none,own,1,skilled,2,no,yes,1
low,42,delay,television,4370,low,seven,3,male_single,none,2,agreement,26,bank,own,2,skilled,2,yes,yes,2
low,18,existing_paid,education,750,low,unemployed,4,female_divorced_married,none,1,real_estate,27,none,own,1,unemployed,1,no,yes,2
medium,15,existing_paid,repairs,1308,low,seven+,4,male_single,none,4,other,38,none,own,2,unskilled,1,no,yes,1
no_acc,15,existing_paid,education,4623,medium,four,3,male_single,none,2,agreement,40,none,own,1,management,1,yes,yes,2
no_acc,24,critical,television,1851,low,seven,4,male_married,guarantor,2,other,33,none,own,2,skilled,1,yes,yes,1
low,18,critical,television,1880,low,seven,4,male_married,none,1,agreement,32,none,own,2,management,1,yes,yes,1
no_acc,36,delay,business,7980,no_acc,one,4,male_single,none,4,other,27,none,rent,2,skilled,1,yes,yes,2
low,30,no_credit,furniture,4583,low,four,2,male_divorced,guarantor,2,real_estate,32,none,own,2,skilled,1,no,yes,1
no_acc,12,existing_paid,new_car,1386,silver,four,2,female_divorced_married,none,2,agreement,26,none,own,1,skilled,1,no,yes,2
high,24,existing_paid,new_car,947,low,seven,4,male_single,none,3,no_property,38,bank,for free,1,skilled,2,no,yes,2
low,12,existing_paid,education,684,low,four,4,male_single,none,4,other,40,none,rent,1,unskilled,2,no,yes,2
low,48,existing_paid,education,7476,low,seven,4,male_single,none,1,no_property,50,none,for free,1,management,1,yes,yes,1
medium,12,existing_paid,furniture,1922,low,four,4,male_single,none,2,agreement,37,none,own,1,unskilled,1,no,yes,2
low,24,existing_paid,new_car,2303,low,seven+,4,male_single,co-applicant,1,real_estate,45,none,own,1,skilled,1,no,yes,2
medium,36,delay,new_car,8086,medium,seven+,2,male_single,none,4,other,42,none,own,4,management,1,yes,yes,2
no_acc,24,critical,old_car,2346,low,seven,4,male_single,none,3,other,35,none,own,2,skilled,1,yes,yes,1
low,14,existing_paid,new_car,3973,low,unemployed,1,male_single,none,4,no_property,22,none,for free,1,skilled,1,no,yes,1
medium,12,existing_paid,new_car,888,low,seven+,4,male_single,none,4,other,41,bank,own,1,unskilled,2,no,yes,2
no_acc,48,existing_paid,television,10222,no_acc,seven,4,male_single,none,3,other,37,stores,own,1,skilled,1,yes,yes,1
medium,30,no_credit,business,4221,low,four,2,female_divorced_married,none,1,other,28,none,own,2,skilled,1,no,yes,1
medium,18,critical,furniture,6361,low,seven+,2,male_single,none,1,no_property,41,none,own,1,skilled,1,yes,yes,1
high,12,existing_paid,television,1297,low,four,3,male_married,none,4,real_estate,23,none,rent,1,skilled,1,no,yes,1
low,12,existing_paid,new_car,900,no_acc,four,4,male_married,none,2,other,23,none,own,1,skilled,1,no,yes,2
no_acc,21,existing_paid,furniture,2241,low,seven+,4,male_single,none,2,real_estate,50,none,own,2,skilled,1,no,yes,1
medium,6,delay,furniture,1050,low,unemployed,4,male_single,none,1,agreement,35,stores,own,2,management,1,yes,yes,1
high,6,critical,education,1047,low,four,2,female_divorced_married,none,4,agreement,50,none,own,1,unskilled,1,no,yes,1
no_acc,24,critical,others,6314,low,unemployed,4,male_single,co-applicant,2,no_property,27,bank,own,2,management,1,yes,yes,1
medium,30,paid,furniture,3496,gold,four,4,male_single,none,2,other,34,stores,own,1,skilled,2,yes,yes,1
no_acc,48,paid,business,3609,low,four,1,female_divorced_married,none,1,real_estate,27,stores,own,1,skilled,1,no,yes,1
low,12,critical,new_car,4843,low,seven+,3,male_single,co-applicant,4,agreement,43,none,rent,2,skilled,1,yes,yes,2
high,30,critical,television,3017,low,seven+,4,male_single,none,4,agreement,47,none,own,1,skilled,1,no,yes,1
no_acc,24,critical,business,4139,medium,four,3,male_single,none,3,agreement,27,none,own,2,unskilled,1,yes,yes,1
no_acc,36,existing_paid,business,5742,medium,seven,2,male_single,none,2,other,31,none,own,2,skilled,1,yes,yes,1
no_acc,60,existing_paid,new_car,10366,low,seven+,2,male_single,none,4,agreement,42,none,own,1,management,1,yes,yes,1
no_acc,6,critical,new_car,2080,silver,four,1,male_married,none,2,other,24,none,own,1,skilled,1,no,yes,1
no_acc,21,delay,business,2580,silver,one,4,male_single,none,2,real_estate,41,bank,own,1,unskilled,2,no,yes,2
no_acc,30,critical,television,4530,low,seven,4,female_divorced_married,none,4,other,26,none,rent,1,management,1,yes,yes,1
no_acc,24,critical,furniture,5150,low,seven+,4,male_single,none,4,other,33,none,own,1,skilled,1,yes,yes,1
medium,72,existing_paid,television,5595,medium,four,2,male_married,none,2,other,24,none,own,1,skilled,1,no,yes,2
low,24,existing_paid,television,2384,low,seven+,4,male_single,none,4,real_estate,64,bank,rent,1,unskilled,1,no,yes,1
no_acc,18,existing_paid,television,1453,low,one,3,female_divorced_married,none,1,real_estate,26,none,own,1,skilled,1,no,yes,1
no_acc,6,existing_paid,education,1538,low,one,1,female_divorced_married,none,2,no_property,56,none,own,1,skilled,1,no,yes,1
no_acc,12,existing_paid,television,2279,no_acc,four,4,male_single,none,4,no_property,37,none,for free,1,skilled,1,yes,yes,1
no_acc,15,delay,television,1478,low,four,4,male_married,none,3,real_estate,33,bank,own,2,skilled,1,no,yes,1
no_acc,24,critical,television,5103,low,one,3,male_married,none,3,no_property,47,none,for free,3,skilled,1,yes,yes,1
medium,36,delay,business,9857,medium,seven,1,male_single,none,3,agreement,31,none,own,2,unskilled,2,yes,yes,1
no_acc,60,existing_paid,new_car,6527,no_acc,four,4,male_single,none,4,no_property,34,none,for free,1,skilled,2,yes,yes,1
high,10,critical,television,1347,no_acc,seven,4,male_single,none,2,agreement,27,none,own,2,skilled,1,yes,yes,1
medium,36,delay,new_car,2862,medium,seven+,4,male_single,none,3,no_property,30,none,for free,1,skilled,1,no,yes,1
no_acc,9,existing_paid,television,2753,medium,seven+,3,male_single,co-applicant,4,other,35,none,own,1,skilled,1,yes,yes,1
low,12,existing_paid,new_car,3651,gold,four,1,male_single,none,3,agreement,31,none,own,1,skilled,2,no,yes,1
low,15,critical,furniture,975,low,four,2,male_divorced,none,3,agreement,25,none,own,2,skilled,1,no,yes,1
medium,15,existing_paid,repairs,2631,medium,four,3,female_divorced_married,none,2,real_estate,25,none,own,1,unskilled,1,no,yes,1
medium,24,existing_paid,television,2896,medium,one,2,male_single,none,1,other,29,none,own,1,skilled,1,no,yes,1
low,6,critical,new_car,4716,no_acc,one,1,male_single,none,3,real_estate,44,none,own,2,unskilled,2,no,yes,1
no_acc,24,existing_paid,television,2284,low,seven,4,male_single,none,2,other,28,none,own,1,skilled,1,yes,yes,1
no_acc,6,existing_paid,old_car,1236,silver,four,2,male_single,none,4,agreement,50,none,rent,1,skilled,1,no,yes,1
medium,12,existing_paid,television,1103,low,seven,4,male_single,guarantor,3,real_estate,29,none,own,2,skilled,1,no,no,1
no_acc,12,critical,new_car,926,low,unemployed,1,female_divorced_married,none,2,agreement,38,none,own,1,unemployed,1,no,yes,1
no_acc,18,critical,television,1800,low,four,4,male_single,none,2,other,24,none,own,2,skilled,1,no,yes,1
high,15,existing_paid,education,1905,low,seven+,4,male_single,none,4,other,40,none,rent,1,management,1,yes,yes,1
no_acc,12,existing_paid,furniture,1123,silver,four,4,female_divorced_married,none,4,other,29,none,rent,1,unskilled,1,no,yes,2
low,48,critical,old_car,6331,low,seven+,4,male_single,none,4,no_property,46,none,for free,2,skilled,1,yes,yes,2
high,24,existing_paid,television,1377,medium,seven+,4,female_divorced_married,none,2,no_property,47,none,for free,1,skilled,1,yes,yes,1
medium,30,delay,business,2503,medium,seven+,4,male_single,none,2,agreement,41,stores,own,2,skilled,1,no,yes,1
medium,27,existing_paid,business,2528,low,one,4,female_divorced_married,none,1,agreement,32,none,own,1,skilled,2,yes,yes,1
no_acc,15,existing_paid,new_car,5324,silver,seven+,1,female_divorced_married,none,4,no_property,35,none,for free,1,skilled,1,no,yes,1
medium,48,existing_paid,new_car,6560,medium,seven,3,male_single,none,2,agreement,24,none,own,1,skilled,1,no,yes,2
